review_status,reviewer,review_notes,language,document,reference,title,source_text,pipeline_primary_type,candidate_gold_primary_type,candidate_gold_primary_type_reason,candidate_gold_material_mechanisms,candidate_gold_actor_object_arguments,candidate_gold_polarity,candidate_gold_procedural_states,candidate_gold_numeric_semantic_roles,candidate_gold_source_evidence_spans,_candidate_evidence_integrity,gold_primary_type,gold_material_mechanisms,gold_actor_object_arguments,gold_polarity,gold_procedural_states,gold_numeric_semantic_roles,gold_source_evidence_spans
REVIEW_REQUIRED,,Machine-generated gold candidate from source text only. Human legal review required before APPROVED.,en,02_Master_Services_Agreement.json,4.2,Termination Rights,"4.2 Provider may terminate this Agreement or any SOW immediately, for any reason or no reason, upon written notice to Contracting Party A. Contracting Party A may terminate only for Provider's uncured material breach following sixty (60) days' written notice and opportunity to cure.",termination,termination,HIGHEST_PRIORITY_GROUNDED_DOMAIN_MECHANISM,"[""TERMINATION_RIGHT"", ""TERMINATION_FOR_CAUSE"", ""CURE_PERIOD"", ""NOTICE_REQUIREMENT""]","[{""mechanism"": ""TERMINATION_RIGHT"", ""actor"": """", ""object_or_scope"": ""may terminate this Agreement or any SOW immediately, for any reason or no reason, upon written notice to Contracting Party A. Contracting Party A may terminate only for Provider's uncured material breach following sixty (60) days' wr"", ""source_span"": {""mechanism"": ""TERMINATION_RIGHT"", ""start"": 13, ""end"": 246, ""text"": ""may terminate this Agreement or any SOW immediately, for any reason or no reason, upon written notice to Contracting Party A. Contracting Party A may terminate only for Provider's uncured material breach following sixty (60) days' wr""}}, {""mechanism"": ""TERMINATION_FOR_CAUSE"", ""actor"": """", ""object_or_scope"": ""uncured material breach following sixty (60) days' written notice and opportunity to cure."", ""source_span"": {""mechanism"": ""TERMINATION_FOR_CAUSE"", ""start"": 193, ""end"": 283, ""text"": ""uncured material breach following sixty (60) days' written notice and opportunity to cure.""}}, {""mechanism"": ""CURE_PERIOD"", ""actor"": """", ""object_or_scope"": ""sixty (60) days' written notice and opportunity to cure"", ""source_span"": {""mechanism"": ""CURE_PERIOD"", ""start"": 227, ""end"": 282, ""text"": ""sixty (60) days' written notice and opportunity to cure""}}, {""mechanism"": ""NOTICE_REQUIREMENT"", ""actor"": """", ""object_or_scope"": ""upon written notice"", ""source_span"": {""mechanism"": ""NOTICE_REQUIREMENT"", ""start"": 95, ""end"": 114, ""text"": ""upon written notice""}}]","[{""mechanism"": ""TERMINATION_RIGHT"", ""polarity"": ""RIGHT""}]","[{""mechanism"": ""TERMINATION_FOR_CAUSE"", ""state"": ""CAUSE_TRIGGER""}, {""mechanism"": ""CURE_PERIOD"", ""state"": ""CURE_REQUIRED""}, {""mechanism"": ""NOTICE_REQUIREMENT"", ""state"": ""NOTICE_REQUIRED""}]",[],"[{""mechanism"": ""TERMINATION_RIGHT"", ""start"": 13, ""end"": 246, ""text"": ""may terminate this Agreement or any SOW immediately, for any reason or no reason, upon written notice to Contracting Party A. Contracting Party A may terminate only for Provider's uncured material breach following sixty (60) days' wr""}, {""mechanism"": ""TERMINATION_RIGHT"", ""start"": 163, ""end"": 283, ""text"": ""terminate only for Provider's uncured material breach following sixty (60) days' written notice and opportunity to cure.""}, {""mechanism"": ""TERMINATION_FOR_CAUSE"", ""start"": 193, ""end"": 283, ""text"": ""uncured material breach following sixty (60) days' written notice and opportunity to cure.""}, {""mechanism"": ""CURE_PERIOD"", ""start"": 227, ""end"": 282, ""text"": ""sixty (60) days' written notice and opportunity to cure""}, {""mechanism"": ""CURE_PERIOD"", ""start"": 263, ""end"": 282, ""text"": ""opportunity to cure""}, {""mechanism"": ""NOTICE_REQUIREMENT"", ""start"": 95, ""end"": 114, ""text"": ""upon written notice""}, {""mechanism"": ""NOTICE_REQUIREMENT"", ""start"": 100, ""end"": 114, ""text"": ""written notice""}, {""mechanism"": ""NOTICE_REQUIREMENT"", ""start"": 244, ""end"": 258, ""text"": ""written notice""}]",True,,[],[],[],[],[],[]
REVIEW_REQUIRED,,Machine-generated gold candidate from source text only. Human legal review required before APPROVED.,en,02_Master_Services_Agreement.json,2.2,Fee Increase for Renewal Term,"2.2 Provider reserves the right to unilaterally increase fees for any renewal term by up to fifteen percent (15%) upon thirty (30) days' written notice, without requiring Contracting Party A's consent.",renewal,renewal,HIGHEST_PRIORITY_GROUNDED_DOMAIN_MECHANISM,"[""NOTICE_REQUIREMENT"", ""FEE_ADJUSTMENT_RIGHT""]","[{""mechanism"": ""NOTICE_REQUIREMENT"", ""actor"": """", ""object_or_scope"": ""written notice"", ""source_span"": {""mechanism"": ""NOTICE_REQUIREMENT"", ""start"": 137, ""end"": 151, ""text"": ""written notice""}}, {""mechanism"": ""FEE_ADJUSTMENT_RIGHT"", ""actor"": """", ""object_or_scope"": ""reserves the right to unilaterally increase fees for any renewal term by up to fifteen percent (15%) upon thirty (30) days' written notice, without requiring Contracting Party A's consent."", ""source_span"": {""mechanism"": ""FEE_ADJUSTMENT_RIGHT"", ""start"": 13, ""end"": 201, ""text"": ""reserves the right to unilaterally increase fees for any renewal term by up to fifteen percent (15%) upon thirty (30) days' written notice, without requiring Contracting Party A's consent.""}}]","[{""mechanism"": ""FEE_ADJUSTMENT_RIGHT"", ""polarity"": ""RIGHT""}]","[{""mechanism"": ""NOTICE_REQUIREMENT"", ""state"": ""NOTICE_REQUIRED""}]","[{""role"": ""PERCENTAGE_THRESHOLD_OR_RATE"", ""start"": 86, ""end"": 113, ""text"": ""up to fifteen percent (15%)""}]","[{""mechanism"": ""NOTICE_REQUIREMENT"", ""start"": 137, ""end"": 151, ""text"": ""written notice""}, {""mechanism"": ""FEE_ADJUSTMENT_RIGHT"", ""start"": 13, ""end"": 201, ""text"": ""reserves the right to unilaterally increase fees for any renewal term by up to fifteen percent (15%) upon thirty (30) days' written notice, without requiring Contracting Party A's consent.""}]",True,,[],[],[],[],[],[]
REVIEW_REQUIRED,,Machine-generated gold candidate from source text only. Human legal review required before APPROVED.,en,02_Master_Services_Agreement.json,5.1,Limitation of Liability,"5.1 EXCEPT FOR BREACHES OF CONFIDENTIALITY OR INDEMNIFICATION OBLIGATIONS, IN NO EVENT SHALL PROVIDER'S AGGREGATE LIABILITY EXCEED THE FEES PAID BY CLIENT IN THE THREE (3) MONTHS PRECEDING THE CLAIM. IN NO EVENT SHALL PROVIDER BE LIABLE FOR ANY INDIRECT, CONSEQUENTIAL, OR PUNITIVE DAMAGES, EVEN IF ADVISED OF THE POSSIBILITY THEREOF.",liability,liability,HIGHEST_PRIORITY_GROUNDED_DOMAIN_MECHANISM,"[""LIABILITY_CARVEOUT"", ""EXCLUDED_DAMAGE_CATEGORY""]","[{""mechanism"": ""LIABILITY_CARVEOUT"", ""actor"": """", ""object_or_scope"": ""EXCEPT FOR BREACHES OF CONFIDENTIALITY OR INDEMNIFICATION OBLIGATIONS"", ""source_span"": {""mechanism"": ""LIABILITY_CARVEOUT"", ""start"": 4, ""end"": 73, ""text"": ""EXCEPT FOR BREACHES OF CONFIDENTIALITY OR INDEMNIFICATION OBLIGATIONS""}}, {""mechanism"": ""EXCLUDED_DAMAGE_CATEGORY"", ""actor"": """", ""object_or_scope"": ""PUNITIVE DAMAGES, EVEN IF ADVISED OF THE POSSIBILITY THEREOF."", ""source_span"": {""mechanism"": ""EXCLUDED_DAMAGE_CATEGORY"", ""start"": 273, ""end"": 334, ""text"": ""PUNITIVE DAMAGES, EVEN IF ADVISED OF THE POSSIBILITY THEREOF.""}}]","[{""mechanism"": ""EXCLUDED_DAMAGE_CATEGORY"", ""polarity"": ""EXCLUDED""}]","[{""mechanism"": ""LIABILITY_CARVEOUT"", ""state"": ""CARVEOUT""}]",[],"[{""mechanism"": ""LIABILITY_CARVEOUT"", ""start"": 4, ""end"": 73, ""text"": ""EXCEPT FOR BREACHES OF CONFIDENTIALITY OR INDEMNIFICATION OBLIGATIONS""}, {""mechanism"": ""LIABILITY_CARVEOUT"", ""start"": 4, ""end"": 61, ""text"": ""EXCEPT FOR BREACHES OF CONFIDENTIALITY OR INDEMNIFICATION""}, {""mechanism"": ""EXCLUDED_DAMAGE_CATEGORY"", ""start"": 273, ""end"": 334, ""text"": ""PUNITIVE DAMAGES, EVEN IF ADVISED OF THE POSSIBILITY THEREOF.""}]",True,,[],[],[],[],[],[]
REVIEW_REQUIRED,,Machine-generated gold candidate from source text only. Human legal review required before APPROVED.,en,04_Cybersecurity_Services_Agreement.json,5.2,Indemnification for Security Incident,"5.2 Provider shall indemnify Contracting Party A for third-party claims, regulatory fines, and reasonable costs of credit monitoring and forensic investigation arising from a Security Incident attributable to Provider's breach of this Agreement.",indemnity,indemnity,HIGHEST_PRIORITY_GROUNDED_DOMAIN_MECHANISM,"[""INDEMNIFICATION_OBLIGATION""]","[{""mechanism"": ""INDEMNIFICATION_OBLIGATION"", ""actor"": """", ""object_or_scope"": ""shall indemnify Contracting Party A for third-party claims, regulatory fines, and reasonable costs of credit monitoring and forensic investigation arising from a Security Incident attributable to Provider's breach of this Agreement."", ""source_span"": {""mechanism"": ""INDEMNIFICATION_OBLIGATION"", ""start"": 13, ""end"": 245, ""text"": ""shall indemnify Contracting Party A for third-party claims, regulatory fines, and reasonable costs of credit monitoring and forensic investigation arising from a Security Incident attributable to Provider's breach of this Agreement.""}}]","[{""mechanism"": ""INDEMNIFICATION_OBLIGATION"", ""polarity"": ""REQUIRED""}]",[],[],"[{""mechanism"": ""INDEMNIFICATION_OBLIGATION"", ""start"": 13, ""end"": 245, ""text"": ""shall indemnify Contracting Party A for third-party claims, regulatory fines, and reasonable costs of credit monitoring and forensic investigation arising from a Security Incident attributable to Provider's breach of this Agreement.""}]",True,,[],[],[],[],[],[]
REVIEW_REQUIRED,,Machine-generated gold candidate from source text only. Human legal review required before APPROVED.,en,02_Master_Services_Agreement.json,2.1,Payment Terms,2.1 Contracting Party A shall pay all fees set forth in each SOW within forty-five (45) days of the invoice date. Any amount unpaid after sixty (60) days shall accrue interest at 1% per month.,payment,payment,HIGHEST_PRIORITY_GROUNDED_DOMAIN_MECHANISM,"[""PAYMENT_OBLIGATION"", ""PAYMENT_DEADLINE"", ""INTEREST_ACCRUAL""]","[{""mechanism"": ""PAYMENT_OBLIGATION"", ""actor"": """", ""object_or_scope"": ""shall pay all fees set forth in each SOW within forty-five (45) days of the invoice date. Any amount unpaid after sixty (60) days shall accrue interest at 1% per month."", ""source_span"": {""mechanism"": ""PAYMENT_OBLIGATION"", ""start"": 24, ""end"": 192, ""text"": ""shall pay all fees set forth in each SOW within forty-five (45) days of the invoice date. Any amount unpaid after sixty (60) days shall accrue interest at 1% per month.""}}, {""mechanism"": ""PAYMENT_DEADLINE"", ""actor"": """", ""object_or_scope"": ""within forty-five (45) days of the invoice date"", ""source_span"": {""mechanism"": ""PAYMENT_DEADLINE"", ""start"": 65, ""end"": 112, ""text"": ""within forty-five (45) days of the invoice date""}}, {""mechanism"": ""INTEREST_ACCRUAL"", ""actor"": """", ""object_or_scope"": ""shall accrue interest at 1% per month."", ""source_span"": {""mechanism"": ""INTEREST_ACCRUAL"", ""start"": 154, ""end"": 192, ""text"": ""shall accrue interest at 1% per month.""}}]","[{""mechanism"": ""PAYMENT_OBLIGATION"", ""polarity"": ""REQUIRED""}]","[{""mechanism"": ""PAYMENT_DEADLINE"", ""state"": ""DEADLINE""}]","[{""role"": ""DEADLINE_OR_NOTICE_DAYS"", ""start"": 65, ""end"": 92, ""text"": ""within forty-five (45) days""}, {""role"": ""DEADLINE_OR_NOTICE_DAYS"", ""start"": 132, ""end"": 153, ""text"": ""after sixty (60) days""}, {""role"": ""PERCENTAGE_THRESHOLD_OR_RATE"", ""start"": 179, ""end"": 191, ""text"": ""1% per month""}]","[{""mechanism"": ""PAYMENT_OBLIGATION"", ""start"": 24, ""end"": 192, ""text"": ""shall pay all fees set forth in each SOW within forty-five (45) days of the invoice date. Any amount unpaid after sixty (60) days shall accrue interest at 1% per month.""}, {""mechanism"": ""PAYMENT_DEADLINE"", ""start"": 65, ""end"": 112, ""text"": ""within forty-five (45) days of the invoice date""}, {""mechanism"": ""INTEREST_ACCRUAL"", ""start"": 154, ""end"": 192, ""text"": ""shall accrue interest at 1% per month.""}]",True,,[],[],[],[],[],[]
REVIEW_REQUIRED,,Machine-generated gold candidate from source text only. Human legal review required before APPROVED.,en,08_Procurement_Supply_Agreement.json,2.1,Prices for Goods,"2.1 Prices for the Goods are as set forth in Exhibit A and shall remain fixed for the first twelve (12) months of the Term, subject thereafter to adjustment no more than once annually based on documented increases in raw material costs, capped at 6% per year.",pricing,pricing,HIGHEST_PRIORITY_GROUNDED_DOMAIN_MECHANISM,"[""PRICE_ADJUSTMENT_MECHANISM""]","[{""mechanism"": ""PRICE_ADJUSTMENT_MECHANISM"", ""actor"": ""Prices for the Goods are as set forth in Exhibit A and"", ""object_or_scope"": ""Prices for the Goods are as set forth in Exhibit A and shall remain fixed for the first twelve (12) months of the Term, subject thereafter to adjustment no more than once annually based on documented increases in raw material costs, capped at 6% per year."", ""source_span"": {""mechanism"": ""PRICE_ADJUSTMENT_MECHANISM"", ""start"": 4, ""end"": 259, ""text"": ""Prices for the Goods are as set forth in Exhibit A and shall remain fixed for the first twelve (12) months of the Term, subject thereafter to adjustment no more than once annually based on documented increases in raw material costs, capped at 6% per year.""}}]",[],[],"[{""role"": ""DURATION_MONTHS"", ""start"": 78, ""end"": 110, ""text"": ""for the first twelve (12) months""}, {""role"": ""DURATION_YEARS"", ""start"": 247, ""end"": 258, ""text"": ""6% per year""}]","[{""mechanism"": ""PRICE_ADJUSTMENT_MECHANISM"", ""start"": 4, ""end"": 259, ""text"": ""Prices for the Goods are as set forth in Exhibit A and shall remain fixed for the first twelve (12) months of the Term, subject thereafter to adjustment no more than once annually based on documented increases in raw material costs, capped at 6% per year.""}, {""mechanism"": ""PRICE_ADJUSTMENT_MECHANISM"", ""start"": 146, ""end"": 259, ""text"": ""adjustment no more than once annually based on documented increases in raw material costs, capped at 6% per year.""}, {""mechanism"": ""PRICE_ADJUSTMENT_MECHANISM"", ""start"": 237, ""end"": 258, ""text"": ""capped at 6% per year""}]",True,,[],[],[],[],[],[]
REVIEW_REQUIRED,,Machine-generated gold candidate from source text only. Human legal review required before APPROVED.,en,15_General_Commercial_Agreement.json,2.1,Cost Allocation,"2.1 Unless otherwise specified in a project plan, each Party shall bear its own costs and expenses incurred in connection with the Cooperation Activities. Any shared costs shall be split equally unless otherwise agreed in writing.",fees,fees,HIGHEST_PRIORITY_GROUNDED_DOMAIN_MECHANISM,"[""COST_ALLOCATION""]","[{""mechanism"": ""COST_ALLOCATION"", ""actor"": ""each Party"", ""object_or_scope"": ""each Party shall bear its own costs and expenses incurred in connection with the Cooperation Activities. Any shared costs shall be split equally unless otherwise agreed in writing."", ""source_span"": {""mechanism"": ""COST_ALLOCATION"", ""start"": 50, ""end"": 230, ""text"": ""each Party shall bear its own costs and expenses incurred in connection with the Cooperation Activities. Any shared costs shall be split equally unless otherwise agreed in writing.""}}]",[],[],[],"[{""mechanism"": ""COST_ALLOCATION"", ""start"": 50, ""end"": 230, ""text"": ""each Party shall bear its own costs and expenses incurred in connection with the Cooperation Activities. Any shared costs shall be split equally unless otherwise agreed in writing.""}, {""mechanism"": ""COST_ALLOCATION"", ""start"": 159, ""end"": 194, ""text"": ""shared costs shall be split equally""}]",True,,[],[],[],[],[],[]
REVIEW_REQUIRED,,Machine-generated gold candidate from source text only. Human legal review required before APPROVED.,en,02_Master_Services_Agreement.json,3.1,Intellectual Property Rights,"3.1 Provider retains all right, title, and interest in its pre-existing tools, methodologies, and know-how used to deliver the services.",intellectual_property,intellectual_property,HIGHEST_PRIORITY_GROUNDED_DOMAIN_MECHANISM,"[""BACKGROUND_IP_RETENTION""]","[{""mechanism"": ""BACKGROUND_IP_RETENTION"", ""actor"": """", ""object_or_scope"": ""retains all right, title, and interest in its pre-existing tools, methodologies, and know-how used to deliver the services."", ""source_span"": {""mechanism"": ""BACKGROUND_IP_RETENTION"", ""start"": 13, ""end"": 136, ""text"": ""retains all right, title, and interest in its pre-existing tools, methodologies, and know-how used to deliver the services.""}}]","[{""mechanism"": ""BACKGROUND_IP_RETENTION"", ""polarity"": ""RIGHT""}]",[],[],"[{""mechanism"": ""BACKGROUND_IP_RETENTION"", ""start"": 13, ""end"": 136, ""text"": ""retains all right, title, and interest in its pre-existing tools, methodologies, and know-how used to deliver the services.""}]",True,,[],[],[],[],[],[]
REVIEW_REQUIRED,,Machine-generated gold candidate from source text only. Human legal review required before APPROVED.,en,07_Software_Licensing_Agreement.json,1.2,License Restrictions,"1.2 Licensee shall not reverse engineer, decompile, or create derivative works of the Licensed Software, except to the extent such restriction is unenforceable under applicable law.",license,license,HIGHEST_PRIORITY_GROUNDED_DOMAIN_MECHANISM,"[""LICENSE_RESTRICTION""]","[{""mechanism"": ""LICENSE_RESTRICTION"", ""actor"": """", ""object_or_scope"": ""shall not reverse engineer, decompile, or create derivative works of the Licensed Software, except to the extent such restriction is unenforceable under applicable law."", ""source_span"": {""mechanism"": ""LICENSE_RESTRICTION"", ""start"": 13, ""end"": 181, ""text"": ""shall not reverse engineer, decompile, or create derivative works of the Licensed Software, except to the extent such restriction is unenforceable under applicable law.""}}]","[{""mechanism"": ""LICENSE_RESTRICTION"", ""polarity"": ""PROHIBITED""}]",[],[],"[{""mechanism"": ""LICENSE_RESTRICTION"", ""start"": 13, ""end"": 181, ""text"": ""shall not reverse engineer, decompile, or create derivative works of the Licensed Software, except to the extent such restriction is unenforceable under applicable law.""}]",True,,[],[],[],[],[],[]
REVIEW_REQUIRED,,Machine-generated gold candidate from source text only. Human legal review required before APPROVED.,en,01_NDA_Confidentiality_Agreement.json,1.2,Use of Confidential Information,1.2 Each Receiving Party shall use the Confidential Information solely for the Purpose.,confidentiality,confidentiality,HIGHEST_PRIORITY_GROUNDED_DOMAIN_MECHANISM,"[""CONFIDENTIAL_USE_RESTRICTION""]","[{""mechanism"": ""CONFIDENTIAL_USE_RESTRICTION"", ""actor"": """", ""object_or_scope"": ""shall use the Confidential Information solely for the Purpose"", ""source_span"": {""mechanism"": ""CONFIDENTIAL_USE_RESTRICTION"", ""start"": 25, ""end"": 86, ""text"": ""shall use the Confidential Information solely for the Purpose""}}]","[{""mechanism"": ""CONFIDENTIAL_USE_RESTRICTION"", ""polarity"": ""RESTRICTED""}]",[],[],"[{""mechanism"": ""CONFIDENTIAL_USE_RESTRICTION"", ""start"": 25, ""end"": 86, ""text"": ""shall use the Confidential Information solely for the Purpose""}]",True,,[],[],[],[],[],[]
