review_status,reviewer,review_notes,language,document,reference,title,source_text,pipeline_primary_type,pipeline_confidence,shadow_primary_type,shadow_confidence,shadow_abstained,shadow_abstention_reason,shadow_candidate_primary_type,shadow_candidate_coverage,shadow_ranked_material_mechanisms,gold_primary_type,gold_material_mechanisms,gold_actor_object_arguments,gold_polarity,gold_procedural_states,gold_numeric_semantic_roles,gold_source_evidence_spans
PENDING,,,en,02_Master_Services_Agreement.json,4.2,Termination Rights,"4.2 Provider may terminate this Agreement or any SOW immediately, for any reason or no reason, upon written notice to Contracting Party A. Contracting Party A may terminate only for Provider's uncured material breach following sixty (60) days' written notice and opportunity to cure.",termination,medium,UNKNOWN,0.0,True,NO_PRIMARY_ELIGIBLE_DOMAIN_MECHANISM,,,[],,[],[],[],[],[],[]
PENDING,,,en,02_Master_Services_Agreement.json,2.2,Fee Increase for Renewal Term,"2.2 Provider reserves the right to unilaterally increase fees for any renewal term by up to fifteen percent (15%) upon thirty (30) days' written notice, without requiring Contracting Party A's consent.",renewal,high,UNKNOWN,0.0,True,NO_PRIMARY_ELIGIBLE_DOMAIN_MECHANISM,,,[],,[],[],[],[],[],[]
PENDING,,,en,02_Master_Services_Agreement.json,5.1,Limitation of Liability,"5.1 EXCEPT FOR BREACHES OF CONFIDENTIALITY OR INDEMNIFICATION OBLIGATIONS, IN NO EVENT SHALL PROVIDER'S AGGREGATE LIABILITY EXCEED THE FEES PAID BY CLIENT IN THE THREE (3) MONTHS PRECEDING THE CLAIM. IN NO EVENT SHALL PROVIDER BE LIABLE FOR ANY INDIRECT, CONSEQUENTIAL, OR PUNITIVE DAMAGES, EVEN IF ADVISED OF THE POSSIBILITY THEREOF.",liability,medium,UNKNOWN,0.5826,True,DOMAIN_MECHANISM_NOT_DOMINANT_ENOUGH,liability,0.1826,"[{""kind"": ""EXCLUDED_DAMAGE_CATEGORY"", ""semantic_role"": ""DOMAIN_MECHANISM"", ""candidate_primary_type"": ""liability"", ""primary_eligible"": true, ""polarity"": ""EXCLUDED"", ""procedural_state"": null, ""source_evidence"": [{""label"": ""EXCLUDED_DAMAGE_CATEGORY"", ""start"": 273, ""end"": 334, ""text"": ""PUNITIVE DAMAGES, EVEN IF ADVISED OF THE POSSIBILITY THEREOF.""}]}]",,[],[],[],[],[],[]
PENDING,,,en,04_Cybersecurity_Services_Agreement.json,5.2,Indemnification for Security Incident,"5.2 Provider shall indemnify Contracting Party A for third-party claims, regulatory fines, and reasonable costs of credit monitoring and forensic investigation arising from a Security Incident attributable to Provider's breach of this Agreement.",indemnity,medium,UNKNOWN,0.0,True,NO_PRIMARY_ELIGIBLE_DOMAIN_MECHANISM,,,[],,[],[],[],[],[],[]
PENDING,,,en,02_Master_Services_Agreement.json,2.1,Payment Terms,2.1 Contracting Party A shall pay all fees set forth in each SOW within forty-five (45) days of the invoice date. Any amount unpaid after sixty (60) days shall accrue interest at 1% per month.,payment,high,UNKNOWN,0.0,True,NO_PRIMARY_ELIGIBLE_DOMAIN_MECHANISM,,,[],,[],[],[],[],[],[]
PENDING,,,en,08_Procurement_Supply_Agreement.json,2.1,Prices for Goods,"2.1 Prices for the Goods are as set forth in Exhibit A and shall remain fixed for the first twelve (12) months of the Term, subject thereafter to adjustment no more than once annually based on documented increases in raw material costs, capped at 6% per year.",pricing,medium,UNKNOWN,0.0,True,NO_PRIMARY_ELIGIBLE_DOMAIN_MECHANISM,,,[],,[],[],[],[],[],[]
PENDING,,,en,15_General_Commercial_Agreement.json,2.1,Cost Allocation,"2.1 Unless otherwise specified in a project plan, each Party shall bear its own costs and expenses incurred in connection with the Cooperation Activities. Any shared costs shall be split equally unless otherwise agreed in writing.",fees,high,UNKNOWN,0.0,True,NO_PRIMARY_ELIGIBLE_DOMAIN_MECHANISM,,,[],,[],[],[],[],[],[]
PENDING,,,en,02_Master_Services_Agreement.json,3.1,Intellectual Property Rights,"3.1 Provider retains all right, title, and interest in its pre-existing tools, methodologies, and know-how used to deliver the services.",intellectual_property,high,UNKNOWN,0.0,True,NO_PRIMARY_ELIGIBLE_DOMAIN_MECHANISM,,,[],,[],[],[],[],[],[]
PENDING,,,en,07_Software_Licensing_Agreement.json,1.2,License Restrictions,"1.2 Licensee shall not reverse engineer, decompile, or create derivative works of the Licensed Software, except to the extent such restriction is unenforceable under applicable law.",license,medium,UNKNOWN,0.0,True,NO_PRIMARY_ELIGIBLE_DOMAIN_MECHANISM,,,"[{""kind"": ""PROHIBITION"", ""semantic_role"": ""CONTROL_MODIFIER"", ""candidate_primary_type"": ""prohibition"", ""primary_eligible"": false, ""polarity"": ""PROHIBITED"", ""procedural_state"": null, ""source_evidence"": [{""label"": ""PROHIBITION"", ""start"": 13, ""end"": 181, ""text"": ""shall not reverse engineer, decompile, or create derivative works of the Licensed Software, except to the extent such restriction is unenforceable under applicable law.""}]}]",,[],[],[],[],[],[]
PENDING,,,en,01_NDA_Confidentiality_Agreement.json,1.2,Use of Confidential Information,1.2 Each Receiving Party shall use the Confidential Information solely for the Purpose.,confidentiality,high,UNKNOWN,0.0,True,NO_PRIMARY_ELIGIBLE_DOMAIN_MECHANISM,,,[],,[],[],[],[],[],[]
PENDING,,,en,05_Data_Processing_Agreement.json,6.1,Notification of Personal Data Breach,"6.1 Processor shall notify Controller without undue delay, and in any event within forty-eight (48) hours, after becoming aware of a Personal Data breach, and shall provide reasonable assistance to Controller in meeting its obligations to notify supervisory authorities and affected data subjects.",data_protection,medium,UNKNOWN,0.0,True,NO_PRIMARY_ELIGIBLE_DOMAIN_MECHANISM,,,[],,[],[],[],[],[],[]
PENDING,,,en,05_Data_Processing_Agreement.json,5.1,Assistance with Data Subject Rights,"5.1 Processor shall assist Controller, insofar as possible, in fulfilling Controller's obligation to respond to requests for exercising data subject rights, and shall notify Controller without undue delay if Processor receives such a request directly.",data_processing,medium,UNKNOWN,0.0,True,NO_PRIMARY_ELIGIBLE_DOMAIN_MECHANISM,,,[],,[],[],[],[],[],[]
PENDING,,,en,03_SaaS_Cloud_Agreement.json,5.1,Security Incident Notification,"5.1 Northwind shall maintain administrative, physical, and technical safeguards consistent with SOC 2 Type II standards, and shall notify Customer of any confirmed security incident affecting Customer Data within seventy-two (72) hours of discovery.",security,high,UNKNOWN,0.0,True,NO_PRIMARY_ELIGIBLE_DOMAIN_MECHANISM,,,[],,[],[],[],[],[],[]
